priority_rank,security_id,current_ticker,current_exchange,candidate_sources,liquidity_signal,active_frequency_signal,index_market_importance_signal,index_market_importance_value,size_market_cap_signal,exchange_preference_value,identity_confidence_signal,identity_confidence_value,strategic_relevance_signal,strategic_relevance_value,available_weight,priority_score,priority_tier,popularity_signal,research_eligibility_effect
46,VCI:148,BCC,HNX,REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,60,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,60,40,85.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
47,VCI:2503,LAS,HNX,REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,60,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,60,40,85.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
48,VCI:3219,TNG,HNX,REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,60,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,60,40,85.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
49,KBS:HOSE:KHP,KHP,HOSE,A5_R1_1_CAFEF_EVIDENCE;CURRENT_500,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,80,SIGNAL_UNAVAILABLE,100,PROVISIONAL_CURRENT_UNIVERSE,60,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,100,40,82.5,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
50,KBS:UPCOM:ACV,ACV,UPCOM,A5_R1_1_CAFEF_EVIDENCE;CURRENT_500;REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,20,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,100,40,80.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
51,KBS:UPCOM:MPC,MPC,UPCOM,CURRENT_500;REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,20,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,60,40,75.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
52,KBS:UPCOM:OIL,OIL,UPCOM,CURRENT_500;REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,20,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,60,40,75.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
53,KBS:UPCOM:QNS,QNS,UPCOM,CURRENT_500;REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,20,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,60,40,75.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
54,KBS:UPCOM:VEA,VEA,UPCOM,CURRENT_500;REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,20,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,60,40,75.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
55,KBS:UPCOM:VGI,VGI,UPCOM,CURRENT_500;REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,20,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,60,40,75.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
