selection_order,priority_rank,security_id,current_ticker,current_exchange,priority_score,priority_tier,wave,listing_date,identity_status,historical_identity_intervals,target_start,target_end,history_target_reason,required_edge_case,known_evidence_tags,selection_reason,research_eligibility_effect
42,42,KBS:HNX:IDC,IDC,HNX,85.0,HIGH,1,2017-11-24,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2017-11-24"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HNX"",""ticker"":""IDC""}]",2017-11-24,2026-09-23,LISTING_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
43,43,KBS:HNX:NTP,NTP,HNX,85.0,HIGH,1,2006-12-11,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2006-12-11"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HNX"",""ticker"":""NTP""}]",2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
44,44,KBS:HNX:PVI,PVI,HNX,85.0,HIGH,1,2007-08-10,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2007-08-10"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HNX"",""ticker"":""PVI""}]",2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
45,45,KBS:HNX:VCS,VCS,HNX,85.0,HIGH,1,2007-12-17,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2007-12-17"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HNX"",""ticker"":""VCS""}]",2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
46,46,VCI:148,BCC,HNX,85.0,HIGH,1,2006-11-24,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2006-11-24"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HNX"",""ticker"":""BCC""}]",2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
47,47,VCI:2503,LAS,HNX,85.0,HIGH,1,2012-03-01,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2012-03-01"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HNX"",""ticker"":""LAS""}]",2012-03-01,2026-09-23,LISTING_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
48,48,VCI:3219,TNG,HNX,85.0,HIGH,1,2007-11-22,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2007-11-22"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HNX"",""ticker"":""TNG""}]",2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
49,49,KBS:HOSE:KHP,KHP,HOSE,82.5,HIGH,1,,PROVISIONAL_CURRENT_UNIVERSE,[],2011-09-23,2026-09-23,PARTIAL_IDENTITY_UNRESOLVED,YES,CAFEF_EXISTING_EVIDENCE;CORPORATE_ACTION_WINDOW;KNOWN_KBS_MISSING_SESSION;KNOWN_PRICE_BASIS_DIFFERENCE,EXISTING_CAFEF_EVIDENCE;REQUIRED_EDGE_CASE,NONE_ACQUISITION_ORDER_ONLY
50,50,KBS:UPCOM:ACV,ACV,UPCOM,80.0,HIGH,1,2016-11-21,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2016-11-21"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""UPCOM"",""ticker"":""ACV""}]",2016-11-21,2026-09-23,LISTING_BOUNDARY,YES,CAFEF_EXISTING_EVIDENCE;REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT;EXISTING_CAFEF_EVIDENCE;REQUIRED_EDGE_CASE,NONE_ACQUISITION_ORDER_ONLY
51,51,KBS:UPCOM:MPC,MPC,UPCOM,75.0,HIGH,1,2017-10-16,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2017-10-16"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""UPCOM"",""ticker"":""MPC""}]",2017-10-16,2026-09-23,LISTING_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
