security_id,ticker,exchange,history_policy,estimated_sessions,estimated_pages,estimated_requests,estimate_basis
KBS:HOSE:PC1,PC1,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:PDR,PDR,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:PET,PET,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:PGC,PGC,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:PGD,PGD,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:PHC,PHC,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:PJT,PJT,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:PMG,PMG,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:PNC,PNC,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:PPC,PPC,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:PTB,PTB,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:PTC,PTC,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:PVT,PVT,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:QNP,QNP,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:RAL,RAL,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:RYG,RYG,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:SAM,SAM,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:SBA,SBA,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:SBG,SBG,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:SBT,SBT,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:SCR,SCR,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:SFC,SFC,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:SFG,SFG,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:SFI,SFI,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
