security_id,ticker,exchange,company_name,instrument_type,selection_status,priority_tier,index_importance_signal,market_importance_signal,exchange_signal,history_signal,identity_signal,known_provider_evidence,duplicate_identity_status,selection_reason
KBS:UPCOM:HRB,HRB,UPCOM,CTCP Harec Đầu tư và Thương mại,stock,RESERVE,UPCOM,UNAVAILABLE,UNAVAILABLE,UPCOM,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
KBS:UPCOM:HSA,HSA,UPCOM,CTCP Hestia,stock,RESERVE,UPCOM,UNAVAILABLE,UNAVAILABLE,UPCOM,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
KBS:UPCOM:HSM,HSM,UPCOM,Tổng Công ty cổ phần Dệt may Hà Nội,stock,RESERVE,UPCOM,UNAVAILABLE,UNAVAILABLE,UPCOM,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
KBS:UPCOM:HSP,HSP,UPCOM,CTCP Sơn Tổng hợp Hà Nội,stock,RESERVE,UPCOM,UNAVAILABLE,UNAVAILABLE,UPCOM,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
KBS:UPCOM:HSV,HSV,UPCOM,CTCP Tập đoàn HSV Việt Nam,stock,RESERVE,UPCOM,UNAVAILABLE,UNAVAILABLE,UPCOM,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
KBS:UPCOM:HTE,HTE,UPCOM,CTCP Đầu tư Kinh doanh Điện lực Thành phố Hồ Chí Minh,stock,RESERVE,UPCOM,UNAVAILABLE,UNAVAILABLE,UPCOM,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
KBS:UPCOM:HTP,HTP,UPCOM,CTCP In Sách Giáo khoa Hòa Phát,stock,RESERVE,UPCOM,UNAVAILABLE,UNAVAILABLE,UPCOM,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
KBS:UPCOM:HTT,HTT,UPCOM,CTCP Thương mại Hà Tây,stock,RESERVE,UPCOM,UNAVAILABLE,UNAVAILABLE,UPCOM,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
KBS:UPCOM:HU3,HU3,UPCOM,CTCP Đầu tư và Xây dựng HUD3,stock,RESERVE,UPCOM,UNAVAILABLE,UNAVAILABLE,UPCOM,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
KBS:UPCOM:HU4,HU4,UPCOM,CTCP Đầu tư và Xây dựng HUD4,stock,RESERVE,UPCOM,UNAVAILABLE,UNAVAILABLE,UPCOM,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
KBS:UPCOM:HU6,HU6,UPCOM,CTCP Đầu tư Phát triển Nhà và Đô thị HUD6,stock,RESERVE,UPCOM,UNAVAILABLE,UNAVAILABLE,UPCOM,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
KBS:UPCOM:HUG,HUG,UPCOM,Tổng Công ty May Hưng Yên - CTCP,stock,RESERVE,UPCOM,UNAVAILABLE,UNAVAILABLE,UPCOM,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
KBS:UPCOM:HVA,HVA,UPCOM,CTCP Đầu tư HVA,stock,RESERVE,UPCOM,UNAVAILABLE,UNAVAILABLE,UPCOM,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
KBS:UPCOM:HVX,HVX,UPCOM,CTCP Xi măng VICEM Hải Vân,stock,RESERVE,UPCOM,UNAVAILABLE,UNAVAILABLE,UPCOM,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
KBS:UPCOM:IBD,IBD,UPCOM,CTCP In Tổng hợp Bình Dương,stock,RESERVE,UPCOM,UNAVAILABLE,UNAVAILABLE,UPCOM,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
KBS:UPCOM:ICC,ICC,UPCOM,CTCP Xây dựng Công nghiệp (ICC),stock,RESERVE,UPCOM,UNAVAILABLE,UNAVAILABLE,UPCOM,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
KBS:UPCOM:ICF,ICF,UPCOM,CTCP Đầu tư Thương mại Thủy sản,stock,RESERVE,UPCOM,UNAVAILABLE,UNAVAILABLE,UPCOM,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
