snapshot_date,security_id,candidate_source,market_experiment_eligible
2026-08-28,KBS:HOSE:CKG,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:CLC,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:CLW,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:CMV,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:CMX,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:CNG,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:COM,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:CRC,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:CRE,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:CSM,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:CSV,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:CTD,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:CTF,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:CTI,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:CTR,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:CTS,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:CVT,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:D2D,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:DAH,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:DBC,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:DBD,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:DC4,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:DCL,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:DCM,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:DGC,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:DGW,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:DHA,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:DHC,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:DLG,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:DMC,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:DPG,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:DQC,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:DRC,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:DRH,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:DSC,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:DSN,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:DTA,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:DTL,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:DTT,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:DVP,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:DXG,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:DXS,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:DXV,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:EIB,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:ELC,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:EVE,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:EVF,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:EVG,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:FCM,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:FCN,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:FDC,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:FIR,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:FIT,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:FMC,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:FPT,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:FRT,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:FTS,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:GAS,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:GDT,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:GEE,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:GEG,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:GIL,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:GMD,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:GMH,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:GTA,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:HAG,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:HAP,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:HAR,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:HAS,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:HAX,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:HCD,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:HCM,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:HDC,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:HDG,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:HHP,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:HHV,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:HID,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:HII,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:HMC,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:HPX,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:HQC,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:HRC,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:HSG,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:HSL,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:HTG,C5_BASELINE_500,True
